Sightline,V_rad,Value_2,Value_3
HD 22951,11.6,None,None
HD 23016,17.4,None,None
HD 23180,12.5,None,None
HD 23466,23,None,None
HD 24398,13.1,None,None
HD 27778,15.5,None,None
HD 34748,7.4,None,None
HD 36695,27.1,None,None
HD 36822,23.4,None,None
HD 36861,24.4,None,None
HD 36982,16.3,None,None
HD 37022,19.3,None,None
HD 37041,19.7,None,None
HD 37061,23.2,None,None
HD 37128,24.4,None,None
HD 37367,15.4,None,None
HD 37903,26.3,None,None
HD 39680,15.6,22.6,None
HD 40111,14.4,None,None
HD 41117,9.6,15.2,None
HD 43384,8.6,16.8,None
HD 45314,17.1,None,None
HD 49787,35.2,None,None
HD 53975,32.8,None,None
HD 54239,17.5,None,None
HD 54439,32.6,None,None
HD 54662,34.9,None,None
HD 55879,22.5,None,None
HD 57061,32,None,None
HD 61827,35.9,41.1,None
HD 63804,31.1,37.5,None
HD 66194,13,None,None
HD 73882,20.3,22.7,None
HD 75309,18.1,None,None
HD 75860,19.9,None,None
HD 79186,11.5,None,None
HD 80558,18.7,None,None
HD 81188,7.7,None,None
HD 91824,-1.4,None,None
HD 93030,-3.9,None,None
HD 93205,6.2,None,None
HD 93222,-8.2,4.5,None
HD 93843,-30,-11,None
HD 94493,9.6,None,None
HD 99953,-13,7.6,None
HD 103779,-19.4,None,None
HD 104705,7.1,None,None
HD 109399,9.7,None,None
HD 110432,6.6,None,None
HD 111934,-12.2,6.9,None
HD 112272,-8.7,3.5,None
HD 113904,-0.1,None,None
HD 114886,36.3,41.5,None
HD 116852,9.2,None,None
HD 122879,1.3,None,None
HD 124314,-20.2,-8.5,1.8
HD 135591,1.4,None,None
HD 143275,-12.2,None,None
HD 144217,-9.4,None,None
HD 144470,-10.8,None,None
HD 145502,-10.3,None,None
HD 147084,-7.4,29.8,None
HD 147165,-6.5,None,None
HD 147683,-2,None,None
HD 147888,-8.8,None,None
HD 147889,-7.7,None,None
HD 147932,-8.8,None,None
HD 147933,-8.9,None,None
HD 148184,-11.7,None,None
HD 148605,-8.6,None,None
HD 148937,-15.7,None,None
HD 149038,-2.4,None,None
HD 149404,-19,-8,-0.4
HD 149757,-15.1,None,None
HD 150136,-13.3,-0.6,None
HD 151804,-6.1,1.3,None
HD 152248,1.5,None,None
HD 152408,-4.9,2,None
HD 152424,-11.8,-0.8,None
HD 153919,-4.4,None,None
HD 154043,-12.4,None,None
HD 154368,-4,None,None
HD 155806,-1.7,None,None
HD 156201,-3,None,None
HD 157246,0.4,None,None
HD 161056,-18.5,-13.1,None
HD 164073,-0.5,None,None
HD 164353,-14.6,None,None
HD 164906,-6,None,None
HD 165319,-10.7,-2.6,None
HD 166937,-6.5,None,None
HD 167264,-7,None,None
HD 167838,-17.2,-12.7,9.9
HD 167971,-12.6,10.6,None
HD 168076,-11.6,None,None
HD 169454,-9.8,None,None
HD 170740,-11.1,None,None
HD 170938,-10.4,None,None
HD 171957,-4.9,None,None
HD 172694,-7.4,None,None
HD 179406,-12.8,None,None
HD 180554,-12.7,None,None
HD 183143,-11.1,4.3,None
HD 184915,-12.9,None,None
HD 185418,-10.5,None,None
HD 185859,-8.4,None,None
HD 186745,-10.7,None,None
HD 186841,-11.3,None,None
HD 203532,14,None,None
HD 210121,-15.1,None,None
HD 303308,6.9,None,None
kappaOri,19.5,None,None