Sightline,B,delta_B,zeta,T1,sigma1,origin1,chi2,redchi,func_evals,B_unc,delta_B_unc,zeta_unc,T1_unc,sigma1_unc,origin1_unc
144217,0.007017755,-0.049918526,-0.298858207,33.30476158,0.167678684,0.020344656,68.66316721,0.730459226,139,0.001940018,0.011219298,0.008614559,9.090639045,0.004251081,0.005273461
144217,0.004202066,-0.035689606,-0.303125926,55.14194159,0.167576849,0.025206243,67.29992555,0.715956655,136,0.001895697,0.014555652,0.007945258,24.65496001,0.004533223,0.004914007
144217,0.003706674,-0.217813999,-0.111894597,499.9999856,0.299876738,0.599980557,999.745788,10.63559349,128,0.000403094,0.070905949,0.153298525,626.2894908,0.073751753,0.10287319
144470,0.002255894,-0.030834472,-0.415343292,126.4515606,0.209266744,-0.011515263,247.4401602,2.632342129,212,0.000194384,0.006419585,0.051197935,37.91105369,0.01850956,0.007306638
144470,0.002213068,-0.031391291,-0.425352881,136.1121128,0.213059449,-0.010619506,247.3816763,2.63171996,170,0.000215844,0.007108687,0.059664031,53.15132238,0.020629015,0.008244903
144470,0.00662221,-0.002316916,0.680666148,499.4936455,0.067144399,0.726086888,14298.55785,152.1123176,20,0.001611154,0.016465548,0.070067389,305.8461446,0.050965216,0.044585847
145502,0.002533907,-6.02E-05,-0.338625542,103.6275778,0.187347464,-0.091247581,265.6579134,2.826148015,1283,0.000171186,0.006760592,0.026001906,16.49393711,0.014748619,0.00648661
145502,0.002034985,-2.11E-13,-0.412734288,499.9999993,0.232023061,-0.090629979,240.9645838,2.563453019,10808,,,,,,
145502,0.00208755,-0.000747491,-0.411671685,277.2387206,0.230604016,-0.092547701,255.7133533,2.720354822,129,0.000488257,0.00940753,0.059037336,894.6631761,0.04308684,0.010696584
147165,0.01,-0.1,-0.312,10,0.18,0.014,20891.9318,222.2545936,15,9.16E-14,0.327130012,0.159322957,1.573215473,0.055076834,0.030464662
147165,0.00525,-0.5,-0.50429261,475.5894366,0.251926816,-0.066723684,83207.43094,885.1854356,14000,,,,,,
147165,0.002607627,-0.764303977,-0.999784158,485.419781,0.299999975,0.900791188,5958.661592,63.39001694,171,0.00051862,0.167989378,1.455316543,1867.053973,0.128850735,0.627836023
149757,0.00987558,-0.145075475,-0.276215485,23.08869313,0.159245386,0.057325861,109.9089571,1.169244224,438,0.001942512,0.019225211,0.011679497,4.307506737,0.005429883,0.005890282
149757,0.002807639,-0.050357706,-0.287303642,82.15234932,0.164628442,0.070941351,86.59971609,0.921273575,107,0.000105652,0.004988478,0.010748332,4.661649867,0.006420765,0.004353265
149757,0.009786295,-0.909314048,1,104.4842841,0.3,0.599402967,2141.748811,22.78456182,1481,,,,,,
179406,0.009111627,-0.235245855,-0.28961201,22.49039458,0.171163693,0.074501812,347.8128947,3.700137178,174,0.000972624,0.015989818,0.012194363,2.160623864,0.005267054,0.005095313
179406,0.00197773,-0.087306807,-0.312627002,499.999973,0.218836909,0.131386055,187.866371,1.998578415,240,4.91E-05,0.006474441,0.019091029,987.1738176,0.005214983,0.007858561
179406,0.00999974,-0.066205896,0.107105469,82.33841957,0.05083819,0.827170716,2840.630945,30.21947814,179,0.018979644,0.041848196,0.021335425,76.15832286,0.039512576,0.031563112
184915,0.003949872,-0.100666542,-0.312678994,53.57092238,0.18744468,0.014956307,166.1871355,1.76794825,207,0.001931154,0.048819023,0.011082397,26.23640759,0.005169086,0.005404148
184915,0.003946462,-0.100411319,-0.312520541,53.62198246,0.187374867,0.014963858,166.1827889,1.767902009,145,0.002009904,0.050545185,0.011006446,27.29422809,0.005175237,0.005622836
184915,0.009999364,-1.86E-05,1,500,0.058100614,0.003634997,1086.795418,11.56165338,148,0.015348676,0.035622257,0.009998761,1043.244597,0.069137012,0.037380431